Title,Year,Director,Origin/Ethnicity,Cast,Genre,Color,Duration,Actor_2,Gross,Genres,Actor_1,Actor_3,Plot_keywords,Language,Country,Budget,Aspect_ratio
The Broadway Melody,1929,Harry Beaumont,American,"Charles King, Anita Page, Bessie Love.",musical comedy, Black and White,100.0,Bessie Love,2808000.0,Musical|Romance,Anita Page,Charles King,sibling rivalry|singer|sister act|whistling|wisecrack humor,English,USA,379000.0,1.37
42nd Street,1933,Lloyd Bacon,American,"Dick Powell, Ruby Keeler, Ginger Rogers",musical, Black and White,89.0,Dick Powell,2300000.0,Comedy|Musical|Romance,Ginger Rogers,George Brent,chorus girl|chorus line|director|gala premiere|song,English,USA,439000.0,1.37
Top Hat,1935,Mark Sandrich,American,"Fred Astaire, Ginger Rogers, Edward Everett Horton","comedy, musical", Black and White,81.0,Edward Everett Horton,3000000.0,Comedy|Musical|Romance,Ginger Rogers,Eric Blore,dance|dancer|dancing|horse|tap dancing,English,USA,609000.0,1.37
Modern Times,1936,Charles Chaplin,American,"Charles Chaplin, Paulette Goddard","comedy, drama", Black and White,87.0,Stanley Blystone,163245.0,Comedy|Drama|Family,Paulette Goddard,Fred Malatesta,actor director writer|invention|machine|music score composed by director|tramp,English,USA,1500000.0,1.37
Gone with the Wind,1939,Victor Fleming,American,"Clark Gable, Vivien Leigh, Leslie Howard, Olivia de Havilland, Hattie McDaniel, Butterfly McQueen",epic drama,Color,226.0,George Reeves,198655278.0,Drama|History|Romance|War,Hattie McDaniel,Thomas Mitchell,battle of the sexes|gallantry|honesty|indifference|scandal,English,USA,3977000.0,1.37
The Wizard of Oz,1939,Victor Fleming,American,"Judy Garland, Frank Morgan, Ray Bolger, Jack Haley, Bert Lahr, Billie Burke, Charley Grapewin, Margaret Hamilton",musical fantasy, Black and White,102.0,Terry,22202612.0,Adventure|Family|Fantasy|Musical,Margaret Hamilton,Billie Burke,evil witch|tornado|witch|wizard|wizard of oz,English,USA,2800000.0,1.37
The Best Years of Our Lives,1946,William Wyler,American,"Fredric March, Myrna Loy, Dana Andrews, Teresa Wright, Virginia Mayo, Hoagy Carmichael, Harold Russell",drama, Black and White,172.0,Teresa Wright,23650000.0,Drama|Romance|War,Myrna Loy,Dana Andrews,love|pity|readjusting to civilian life|veteran|world war two veteran,English,USA,2100000.0,1.37
Duel in the Sun,1946,King Vidor,American,"Gregory Peck, Joseph Cotten, Jennifer Jones, Lionel Barrymore",western,Color,144.0,Lillian Gish,20400000.0,Drama|Romance|Western,Joseph Cotten,Jennifer Jones,box office hit|half breed|infidelity|shooting|texas,English,USA,8000000.0,1.37
The Lady from Shanghai,1947,Orson Welles,American,"Rita Hayworth, Orson Welles",film noir, Black and White,92.0,Everett Sloane,7927.0,Crime|Drama|Film-Noir|Mystery|Thriller,Rita Hayworth,Ted de Corsia,law partner|murder|partner|seaman|yacht,English,USA,2300000.0,1.37
The Pirate,1948,Vincente Minnelli,American,"Gene Kelly, Judy Garland",musical,Color,102.0,Reginald Owen,2956000.0,Adventure|Comedy|Musical|Romance,Gladys Cooper,Ellen Ross,hoop|horseback riding|love|pirate|singer,English,USA,3700000.0,1.37
The Greatest Show on Earth,1952,Cecil B. DeMille,American,"Charlton Heston, Betty Hutton, James Stewart, Cornel Wilde, Dorothy Lamour, Henry Wilcoxon",drama,Color,152.0,Dorothy Lamour,36000000.0,Drama|Family|Romance,Gloria Grahame,Cornel Wilde,circus|clown|elephant trainer|trapeze|trapeze artist,English,USA,4000000.0,1.37
"The Beast from 20,000 Fathoms",1953,Eugène Lourié,American,"Paula Raymond, Cecil Kellaway",science fiction, Black and White,80.0,Cecil Kellaway,5000000.0,Adventure|Horror|Sci-Fi,Kenneth Tobey,Ross Elliott,arctic|beast|dinosaur|monster|rhedosaurus,English,USA,210000.0,1.37
The Robe,1953,Henry Koster,American,"Richard Burton, Jean Simmons, Victor Mature, Michael Rennie, Richard Boone",drama,Color,135.0,Jean Simmons,36000000.0,Drama|History,Richard Burton,Victor Mature,box office hit|crucifixion|nightmare|palestine|robe,English,USA,5000000.0,2.2
On the Waterfront,1954,Elia Kazan,American,"Marlon Brando, Eva Marie Saint, Karl Malden, Rod Steiger, Lee J. Cobb",drama, Black and White,108.0,Karl Malden,9600000.0,Crime|Drama|Romance,Marlon Brando,Rod Steiger,death|dock|longshoreman|murder|union,English,USA,910000.0,1.85
Some Like It Hot,1959,Billy Wilder,American,"Marilyn Monroe, Jack Lemmon, Tony Curtis, George Raft, Pat O'Brien, Joe E. Brown",comedy, Black and White,120.0,Joe E. Brown,25000000.0,Comedy|Music|Romance,Nehemiah Persoff,George Raft,all girl band|band|cross dressing|musician|yacht,English,USA,2883848.0,1.66
Psycho,1960,Alfred Hitchcock,American,"Anthony Perkins, Janet Leigh, Vera Miles, John Gavin, John McIntire, Martin Balsam",suspense, Black and White,108.0,Vera Miles,32000000.0,Horror|Mystery|Thriller,Janet Leigh,John Gavin,money|motel|rain|shower|theft,English,USA,806947.0,1.85
Lawrence of Arabia,1962,David Lean,American,"Peter O'Toole, Omar Sharif, Anthony Quinn, Alec Guinness, José Ferrer, Arthur Kennedy, Anthony Quayle, Claude Rains","epic, biography",Color,227.0,José Ferrer,6000000.0,Adventure|Biography|Drama|History|War,Claude Rains,Jack Hawkins,arab|british military|desert|ottoman empire|t.e. lawrence,English,UK,15000000.0,2.2
"It's a Mad, Mad, Mad, Mad World",1963,Stanley Kramer,American,"Spencer Tracy, Milton Berle, Mickey Rooney, Ethel Merman, Sid Caesar, Phil Silvers, Dick Shawn, Terry-Thomas, Edie Adams, Jonathan Winters, Buddy Hackett, Dorothy Provine, Peter Falk",comedy,Color,197.0,Sid Caesar,46300000.0,Action|Adventure|Comedy|Crime,Jonathan Winters,Spencer Tracy,california|desert|dying words|money|race,English,USA,9400000.0,2.76
Mary Poppins,1964,Robert Stevenson,American,"Julie Andrews, Dick Van Dyke","musical, fantasy",Color,139.0,Glynis Johns,102300000.0,Comedy|Family|Fantasy|Musical,Ed Wynn,Elsa Lanchester,banker|female protagonist|live action and animation|magic|nanny,English,USA,6000000.0,1.66
My Fair Lady,1964,George Cukor,American,"Audrey Hepburn, Rex Harrison, Wilfrid Hyde-White, Stanley Holloway",musical,Color,170.0,Rex Harrison,72000000.0,Drama|Family|Musical|Romance,Jeremy Brett,Theodore Bikel,colonel|flower girl|professor|street|wager,English,USA,17000000.0,2.2
Doctor Zhivago,1965,David Lean,American,"Omar Sharif, Julie Christie, Rod Steiger, Geraldine Chaplin, Tom Courtenay, Alec Guinness","drama, epic",Color,200.0,Klaus Kinski,111722000.0,Drama|Romance|War,Julie Christie,Geraldine Chaplin,bolshevik|poet|poetry|russia|russian revolution,English,USA,11000000.0,2.35
Major Dundee,1965,Sam Peckinpah,American,"Charlton Heston, Richard Harris, James Coburn",western,Color,152.0,Slim Pickens,14873.0,Adventure|War|Western,James Coburn,Warren Oates,apache|apache indian|confederate|mexico|scout,English,USA,3800000.0,2.35
The Sound of Music,1965,Robert Wise,American,"Julie Andrews, Christopher Plummer, Peggy Wood, Eleanor Parker, Richard Haydn","musical, family",Color,174.0,Angela Cartwright,163214286.0,Biography|Drama|Family|Musical|Romance,Eleanor Parker,Nicholas Hammond,austria|children|governess|love|orchestral music score,English,USA,8200000.0,2.35
2001: A Space Odyssey,1968,Stanley Kubrick,American,"Keir Dullea, Gary Lockwood, William Sylvester",science fiction,Color,161.0,Gary Lockwood,56715371.0,Adventure|Mystery|Sci-Fi,Keir Dullea,Glenn Beck,ancient astronaut|famous line|message from outer space|monolith|star child,English,UK,12000000.0,2.2
Butch Cassidy and the Sundance Kid,1969,George Roy Hill,American,"Paul Newman, Robert Redford, Katharine Ross",western,Color,110.0,Ted Cassidy,102308900.0,Biography|Crime|Drama|Western,Katharine Ross,Kenneth Mars,bolivia|gang|outlaw|posse|train,English,USA,6000000.0,2.35
Beyond the Valley of the Dolls,1970,Russ Meyer,American,"John Lazar, Dolly Read, Edy Williams",unknown,Color,109.0,Cynthia Myers,9000000.0,Comedy|Drama|Music,Charles Napier,Harrison Page,band|drugs|friendship|hollywood|satire,English,USA,900000.0,2.35
Darling Lili,1970,Blake Edwards,American,"Julie Andrews, Rock Hudson",musical,Color,143.0,Vernon Dobtcheff,5000000.0,Comedy|Drama|Musical|Romance|War,Rock Hudson,Jeremy Kemp,crepe suzette|french|mata hari spoof|song|spy,English,USA,25000000.0,2.35
Fiddler on the Roof,1971,Norman Jewison,American,"Topol, Norma Crane, Molly Picon, Paul Mann, Leonard Frey, Rosalind Harris, Michele Marsh",musical,Color,181.0,Paul Michael Glaser,50000000.0,Drama|Family|Musical|Romance,Topol,Rosalind Harris,immigration|jewish|pogrom|tradition|tradition versus modernity,English,USA,9000000.0,2.35
Sweet Sweetback's Baadasssss Song,1971,Melvin Van Peebles,American,"Melvin Van Peebles, John Amos",crime drama,Color,97.0,Mario Van Peebles,15180000.0,Crime|Drama|Thriller,John Amos,Melvin Van Peebles,black panther|hells angels|on the run|racist|racist cop,English,USA,500000.0,1.37
The Godfather,1972,Francis Ford Coppola,American,"Marlon Brando, Al Pacino, James Caan, Robert Duvall, John Cazale, Diane Keaton, Talia Shire, Richard Castellano, Richard Conte, Sterling Hayden, Al Lettieri, Gianni Russo, Abe Vigoda, John Marley, Alex Rocco, Al Martino",crime drama,Color,175.0,Marlon Brando,134821952.0,Crime|Drama,Al Pacino,Robert Duvall,crime family|mafia|organized crime|patriarch|rise to power,English,USA,6000000.0,1.85
Pink Flamingos,1972,John Waters,American,Divine,comedy,Color,108.0,Mink Stole,180483.0,Comedy|Crime|Horror,Divine,Edith Massey,absurd humor|egg|gross out humor|lesbian|sex,English,USA,10000.0,1.37
American Graffiti,1973,George Lucas,American,"Richard Dreyfuss, Ron Howard, Candy Clark, Harrison Ford, Cindy Williams, Paul Le Mat, Mackenzie Phillips, Charles Martin Smith",comedy,Color,112.0,Ron Howard,115000000.0,Comedy|Drama|Music,Harrison Ford,Mackenzie Phillips,california|car|drag racing|high school|rock 'n' roll,English,USA,777000.0,2.35
The Exorcist,1973,William Friedkin,American,"Ellen Burstyn, Linda Blair, Jason Miller, Max von Sydow, Kitty Winn, Lee J. Cobb",horror,Color,132.0,Linda Blair,204565000.0,Horror,Ellen Burstyn,Lee J. Cobb,demonic possession|exorcism|exorcist|loss of innocence|priest,English,USA,8000000.0,1.37
Mean Streets,1973,Martin Scorsese,American,"Robert De Niro, Harvey Keitel",drama,Color,112.0,David Carradine,32645.0,Crime|Drama|Romance|Thriller,Robert De Niro,David Proval,bar|catholic guilt|epilepsy|italian american|money,English,USA,500000.0,1.85
The Sting,1973,George Roy Hill,American,"Paul Newman, Robert Redford, Robert Shaw, Eileen Brennan, Ray Walston, Jack Kehoe, Charles Durning, Dana Elcar, Harold Gould, Robert Earl Jones, Dimitra Arliss, Sally Kirkland","crime, comedy",Color,129.0,Robert Shaw,159600000.0,Comedy|Crime|Drama,Eileen Brennan,Ray Walston,con|con man|courier|long con|murder,English,USA,5500000.0,1.85
Benji,1974,Joe Camp,American,Patsy Garrett,unknown,Color,86.0,Peter Breck,39552600.0,Adventure|Family|Romance,Frances Bavier,Edgar Buchanan,animal abuse|cat|dog|dog movie|tween girl,English,USA,500000.0,1.85
Blazing Saddles,1974,Mel Brooks,American,"Cleavon Little, Gene Wilder, Mel Brooks, Madeline Kahn, Harvey Korman, Slim Pickens, Alex Karras",unknown,Color,93.0,David Huddleston,119500000.0,Comedy|Western,Madeline Kahn,Harvey Korman,railroad|reference to douglas fairbanks|reference to jesse owens|reference to randolph scott|year 1874,English,USA,2600000.0,2.35
The Texas Chain Saw Massacre,1974,Tobe Hooper,American,"Gunnar Hansen, Marilyn Burns",unknown,Color,88.0,Edwin Neal,30859000.0,Horror|Thriller,Gunnar Hansen,Marilyn Burns,cannibal|chainsaw|hitchhiker|independent film|leatherface,English,USA,83532.0,1.85
Young Frankenstein,1974,Mel Brooks,American,"Gene Wilder, Peter Boyle, Marty Feldman, Madeline Kahn, Cloris Leachman, Teri Garr, Kenneth Mars, Gene Hackman",unknown, Black and White,106.0,Peter Boyle,86300000.0,Comedy,Madeline Kahn,Teri Garr,assistant|castle|experiment|frankenstein's monster|scientist,English,USA,2800000.0,1.85
Jaws,1975,Steven Spielberg,American,"Roy Scheider, Robert Shaw, Richard Dreyfuss","thriller, adventure",Color,130.0,Robert Shaw,260000000.0,Adventure|Drama|Thriller,Roy Scheider,Murray Hamilton,beach|blockbuster|fishing|great white shark|shark,English,USA,8000000.0,2.35
Logan's Run,1976,Michael Anderson,American,"Michael York, Jenny Agutter, Peter Ustinov, Farrah Fawcett, Richard Jordan",science fiction,Color,119.0,Jenny Agutter,25000000.0,Action|Adventure|Sci-Fi,Farrah Fawcett,Peter Ustinov,cat|computer|cult film|runner|sanctuary,English,USA,9000000.0,2.35
Rocky,1976,John G. Avildsen,American,"Sylvester Stallone, Carl Weathers, Talia Shire, Burt Young, Burgess Meredith, Tony Burton",drama,Color,145.0,Burgess Meredith,117235247.0,Drama|Sport,Sylvester Stallone,Carl Weathers,boxer|hometown hero|philadelphia pennsylvania|protective male|training,English,USA,960000.0,1.33
Annie Hall,1977,Woody Allen,American,"Woody Allen, Diane Keaton",unknown,Color,93.0,Carol Kane,39200000.0,Comedy|Romance,Woody Allen,Shelley Duvall,breaking the fourth wall|comedian|jewish|neurosis|singer,English,USA,4000000.0,1.37
